City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,15.69,70,Clouds,6.14,ZA,1727913535
1,stanley,54.868,-1.6985,6.4,95,Clear,1.54,GB,1727913537
2,papatowai,-46.5619,169.4708,8.43,98,Rain,6.76,NZ,1727913538
3,lebu,-37.6167,-73.65,9.24,81,Clouds,9.51,CL,1727913539
4,ballina,-28.8667,153.5667,18.27,63,Clouds,6.11,AU,1727913540
5,pacific grove,36.6177,-121.9166,30.82,81,Clear,2.57,US,1727913541
6,pemangkat,1.1667,108.9667,25.64,80,Clouds,2.11,ID,1727913542
7,mount gambier,-37.8333,140.7667,19.52,43,Clouds,4.85,AU,1727913543
8,sandnessjoen,66.0217,12.6316,9.71,83,Rain,8.56,NO,1727913545
9,adamstown,-25.066,-130.1015,20.72,70,Clouds,6.1,PN,1727913546
10,waitangi,-43.9535,-176.5597,11.56,85,Clouds,9.55,NZ,1727913548
11,petawawa,45.9001,-77.3328,10.77,89,Clouds,1.03,CA,1727913549
12,port-aux-francais,-49.35,70.2167,0.07,96,Snow,14.48,TF,1727913551
13,cherdakly,54.3594,48.845,6.97,87,Clear,1.0,RU,1727913552
14,blackmans bay,-43.0167,147.3167,15.41,61,Clear,0.89,AU,1727913554
15,atafu village,-8.5421,-172.5159,28.43,73,Clear,5.53,TK,1727913555
16,kargasok,59.0556,80.8572,1.14,91,Clouds,3.45,RU,1727913558
17,evanston,42.0411,-87.6901,20.05,37,Clouds,0.45,US,1727913559
18,naama,33.2667,-0.3167,22.48,35,Clouds,5.1,DZ,1727913560
19,rossmoor,33.7856,-118.0851,31.07,54,Haze,3.6,US,1727913562
20,grytviken,-54.2811,-36.5092,-4.23,80,Snow,5.68,GS,1727913565
21,vorgashor,67.5833,63.95,2.16,96,Clouds,8.82,RU,1727913566
22,grand gaube,-20.0064,57.6608,21.32,86,Rain,0.89,MU,1727913568
23,iqaluit,63.7506,-68.5145,4.85,86,Clouds,0.0,CA,1727913569
24,iskateley,67.6803,53.1512,4.07,93,Clouds,4.39,RU,1727913570
25,fonte boa,-2.4959,-66.2662,26.33,66,Clouds,0.37,BR,1727913571
26,ariquemes,-9.9133,-63.0408,30.18,43,Clouds,0.85,BR,1727913572
27,agropoli,40.3469,14.9966,20.02,68,Clouds,3.26,IT,1727913573
28,as-suwayda,32.709,36.5695,14.18,69,Clear,0.13,SY,1727913575
29,kinango,-4.1372,39.3153,20.83,97,Clouds,1.76,KE,1727913576
30,college,64.8569,-147.8028,6.92,58,Clouds,2.06,US,1727913577
31,anadyr,64.75,177.4833,2.28,100,Rain,5.0,RU,1727913578
32,tiksi,71.6872,128.8694,-3.4,79,Clouds,3.58,RU,1727913579
